Code ALF;Statut;Libellé ALF;Libellé Commercial;Texte Commercial;Famille;Type de produit;Conclusion;Univers;Marché;Code Mercure;Code ADV;Code VAD;Engagement;Jour de facturation;Tarif;Date de fin;Non affiché;Score CRM;CGV;Type de commande
IR137849;C;FM Sosh 200 Go 5G (30 Go RLH) 14,99 eur (acq);Forfait Mobile Sosh 200 Go compatible 5G 14,99 eur (30 Go depuis l'Europe), sans engagement;Appels illimités en France métropolitaine et depuis les zones Europe, DOM (hors Suisse/Andorre) vers la France métropolitaine et ces mêmes zones.\r\n\r\nSMS/MMS illimités en France métropolitaine et depuis les zones Europe, DOM (hors Suisse/Andorre) vers la France métropolitaine et ces mêmes zones.\r\n\r\n30 Go d'internet mobile depuis la zone Europe et DOM (hors Suisse et Andorre).;Forfait Mobile Sosh (acquisition);Offres;;Internet;R;;;;;0;14,99 eur/mois;;0;;RC_Sosh_200Go_30Go_RLH_14_99eur.pdf;Mobile
IR137850;C;FM Sosh 300 Go 5G (50 Go RLH) 20,99 eur (acq);Forfait Mobile Sosh 300 Go compatible 5G 20,99 eur (50 Go depuis l'Europe), sans engagement;Appels illimités en France métropolitaine et depuis les zones Europe, DOM (hors Suisse/Andorre) vers la France métropolitaine et ces mêmes zones.\r\n\r\nSMS/MMS illimités en France métropolitaine et depuis les zones Europe, DOM (hors Suisse/Andorre) vers la France métropolitaine et ces mêmes zones.\r\n\r\n50 Go d'internet mobile depuis la zone Europe et DOM (hors Suisse et Andorre).;Forfait Mobile Sosh (acquisition);Offres;;Internet;R;;;;;0;20,99 eur/mois;;0;;RC_Sosh_300Go_50Go_RLH_20_99eur.pdf;Mobile
IR137851;C;PCM : Smartphones Xiaomi 15T;PCM : Smartphones Xiaomi 15T;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137852;C;PCM : Smartphones Xiaomi 15T Pro;PCM : Smartphones Xiaomi 15T Pro;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR137853;A;FM 140 Go 5G SUB (mig);Forfait Mobile 140 Go 5G, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (migration);Offres;;Internet;R;;;;;0;35,99 eur/mois;;0;;RC_Forfait_140Go_5G.pdf;Mobile
IR137854;A;FM 140 Go 5G SUB (acq);Forfait Mobile 140Go 5G, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (acquisition);Offres;;Internet;R;;;;;0;35,99 eur/mois;;0;;RC_Forfait_140Go_5G.pdf;Mobile
IR137855;A;FMR 140 Go 5G SUB (mig);Forfait Mobile Remisé 140 Go 5G, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange Remisé (migration);Offres;;Internet;R;;;;;0;30,99 eur/mois;;0;;RC_Forfait_140Go_5G.pdf;Mobile
IR137856;A;FMR 140 Go 5G SUB (acq);Forfait Mobile Remisé 140Go 5G, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange Remisé (acquisition);Offres;;Internet;R;;;;;0;30,99 eur/mois;;0;;RC_Forfait_140Go_5G.pdf;Mobile
IR137857;A;FM Voyage 180 Go 5G+ SIM (mig);Forfait Mobile Voyage 180 Go 5G+, sans engagement;Forfait sans mobile associé, sans engagement.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\n\r\n- 180 Go en Europe. Mutualisé avec la France\r\n- 40 Go dans 75 destinations hors Europe\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (migration);Offres;;Internet;R;;;;;0;44,99 eur/mois;;0;;RC_Forfait_180Go_Voyage_5G.pdf;Mobile
IR137858;A;FM Voyage 180 Go 5G+ SIM (acq);Forfait Mobile Voyage 180Go 5G+, sans engagement;Forfait sans mobile associé, sans engagement.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\n\r\n- 180 Go en Europe. Mutualisé avec la France\r\n- 40 Go dans 75 destinations hors Europe\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (acquisition);Offres;;Internet;R;;;;;0;44,99 eur/mois;;0;;RC_Forfait_180Go_Voyage_5G.pdf;Mobile
IR137859;A;FMR Voyage 180 Go 5G+ SIM (mig);Forfait Mobile Remisé Voyage 180 Go 5G+, sans engagement;Forfait sans mobile associé, sans engagement.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\n\r\n- 180 Go en Europe. Mutualisé avec la France\r\n- 40 Go dans 75 destinations hors Europe\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange Remisé (migration);Offres;;Internet;R;;;;;0;39,99 eur/mois;;0;;RC_Forfait_180Go_Voyage_5G.pdf;Mobile
IR137860;A;FMR Voyage 180 Go 5G+ SIM (acq);Forfait Mobile Remisé Voyage 180Go 5G+, sans engagement;Forfait sans mobile associé, sans engagement.\r\n\r\nAppels, SMS et MMS illimités en France et depuis les zones Europe et les DOM vers la France et l'Europe.\r\n\r\n- 180 Go en Europe. Mutualisé avec la France\r\n- 40 Go dans 75 destinations hors Europe\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange Remisé (acquisition);Offres;;Internet;R;;;;;0;39,99 eur/mois;;0;;RC_Forfait_180Go_Voyage_5G.pdf;Mobile
IR137861;A;FM 500 Go 5G+ SUB (mig);Forfait Mobile 500 Go 5G+, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels et SMS/MMS illimités en France et depuis les zones Europe, DOM, Suisse/Andorre vers ces zones et la France \r\n\r\nAppels illimités vers les fixes de plus de 100 destinations et vers les fixes et mobiles Europe, USA, Canada\r\n+ SMS /MMS illimités vers l'Europe\r\n\r\nSMS et MMS illimités en France et depuis l'Europe vers la France et l'Europe et SMS/MMS illimités vers l'Europe.\r\n+ 200Go utilisable en Europe, Suisse/Andorre\r\n\r\nInternet mobile : \r\n200 Go supplémentaire utilisables en zones Europe, DOM, Suisse, Andorre\r\n40 Go supplémentaire dans + de 70 destinations\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (migration);Offres;;Internet;R;;;;;0;84,99 eur/mois;;0;;RC_Forfait_500Go_5G.pdf;Mobile
IR137862;A;FM 500 Go 5G+ SUB (acq);Forfait Mobile 500Go 5G+, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels et SMS/MMS illimités en France et depuis les zones Europe, DOM, Suisse/Andorre vers ces zones et la France \r\n\r\nAppels illimités vers les fixes de plus de 100 destinations et vers les fixes et mobiles Europe, USA, Canada\r\n+ SMS /MMS illimités vers l'Europe\r\n\r\nSMS et MMS illimités en France et depuis l'Europe vers la France et l'Europe et SMS/MMS illimités vers l'Europe.\r\n+ 200Go utilisable en Europe, Suisse/Andorre\r\n\r\nInternet mobile : \r\n200 Go supplémentaire utilisables en zones Europe, DOM, Suisse, Andorre\r\n40 Go supplémentaire dans + de 70 destinations\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange (acquisition);Offres;;Internet;R;;;;;0;84,99 eur/mois;;0;;RC_Forfait_500Go_5G.pdf;Mobile
IR137863;A;FMR 500 Go 5G+ SUB (mig);Forfait Mobile Remisé 500 Go 5G+, avec nouveau mobile;Forfait avec nouveau mobile, engagement de 24 mois.\r\n\r\nAppels et SMS/MMS illimités en France et depuis les zones Europe, DOM, Suisse/Andorre vers ces zones et la France \r\n\r\nAppels illimités vers les fixes de plus de 100 destinations et vers les fixes et mobiles Europe, USA, Canada\r\n+ SMS /MMS illimités vers l'Europe\r\n\r\nSMS et MMS illimités en France et depuis l'Europe vers la France et l'Europe et SMS/MMS illimités vers l'Europe.\r\n+ 200Go utilisable en Europe, Suisse/Andorre\r\n\r\nInternet mobile : \r\n200 Go supplémentaire utilisables en zones Europe, DOM, Suisse, Andorre\r\n40 Go supplémentaire dans + de 70 destinations\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Forfait Mobile Orange Remisé (migration);Offres;;Internet;R;;;;;0;69,99 eur/mois;;0;;RC_Forfait_500Go_5G.pdf;Mobile
